location_name,mean_1980,mean_1985,mean_1990,mean_1995,mean_2000,mean_2005,mean_2010,mean_2015,pdiff_1985,pdiff_1990,pdiff_1995,pdiff_2000,pdiff_2005,pdiff_2010,pdiff_2015,address,pdiff_1980
Ireland,38.24,38.29,39.33,42.33,47.27,48.01,48.58,47.61,0.001307531,0.028504184,0.106956067,0.236140167,0.255491632,0.27039749,0.245031381,Ireland,0
Israel,35.82,37.06,38.76,40.28,42.07,43.66,45.65,46.16,0.034617532,0.082077052,0.124511446,0.174483529,0.218872138,0.274427694,0.28866555,Israel,0
Italy,37.05,37,37.37,39.28,40.84,41.29,39.61,38.36,-0.001349528,0.008636977,0.060188934,0.102294197,0.114439946,0.069095816,0.035357625,Italy,0
Jamaica,31.88,32.03,32.91,34.77,36.26,39.67,42.05,42.09,0.004705144,0.032308657,0.090652447,0.137390213,0.244353827,0.319008783,0.320263488,Jamaica,0
Japan,15.48,15.68,16.83,18.25,19.16,19.99,19.12,18.28,0.012919897,0.087209302,0.178940568,0.237726098,0.291343669,0.235142119,0.180878553,Japan,0
Jordan,39.85,45.05,48.96,50.84,51.5,53.96,55.49,55.72,0.130489335,0.228607277,0.275784191,0.292346299,0.354077792,0.392471769,0.398243413,Jordan,0
Kazakhstan,37.05,37.79,37.84,37.11,35.46,36.42,39.81,43.35,0.019973009,0.021322537,0.001619433,-0.04291498,-0.017004049,0.074493927,0.170040486,Kazakhstan,0
Kenya,17.96,16.73,15,14.26,16.36,18.85,21.43,24.42,-0.068485523,-0.16481069,-0.206013363,-0.08908686,0.049554566,0.193207127,0.359688196,Kenya,0
Kiribati,61.38,60.57,59.8,60.6,63.52,64.51,64.5,64.16,-0.013196481,-0.025741284,-0.012707722,0.034864777,0.050993809,0.05083089,0.045291626,Kiribati,0
Kuwait,48.53,53.52,54.09,54.3,59.78,63.97,65.97,66.74,0.102822996,0.114568308,0.118895529,0.231815372,0.318153719,0.359365341,0.375231815,Kuwait,0
Kyrgyzstan,34.87,34.77,34.24,33.04,32.29,34.02,37.13,38.77,-0.002867795,-0.018067106,-0.052480642,-0.073989102,-0.024376255,0.064812159,0.111843992,Kyrgyzstan,0
Laos,7.5,7.89,8.2,8.41,9.24,12.24,14.88,16.26,0.052,0.093333333,0.121333333,0.232,0.632,0.984,1.168,Laos,0
Latvia,39.34,40.13,40.11,38.76,36.91,38.68,41.85,43.86,0.020081342,0.019572954,-0.014743264,-0.061769192,-0.016776817,0.063802745,0.11489578,Latvia,0
Lebanon,33.09,38.02,42.9,46.18,47.94,49.76,48.88,47.69,0.14898761,0.296464189,0.395587791,0.448776065,0.503777576,0.477183439,0.441220913,Lebanon,0
Lesotho,22.34,23.58,24.47,25.95,27.97,29.79,31.03,31.6,0.055505819,0.095344673,0.161593554,0.252014324,0.333482543,0.388988362,0.414503133,Lesotho,0
Liberia,28.18,29.46,29.83,28.79,27.58,28.84,31.97,32.41,0.045422285,0.058552165,0.021646558,-0.021291696,0.023420866,0.134492548,0.150106458,Liberia,0
Libya,45.96,51.04,50.07,49.04,49.02,49.76,50.39,51.21,0.110530896,0.089425587,0.067014795,0.066579634,0.082680592,0.096388164,0.114229765,Libya,0
Lithuania,38.59,39.47,39.7,39.46,39.75,41.78,44.05,44.78,0.022803835,0.028763928,0.022544701,0.030059601,0.082663903,0.141487432,0.16040425,Lithuania,0
Luxembourg,34.26,34.62,34.86,36.75,39.92,41.22,41.72,42.62,0.010507881,0.017513135,0.07267951,0.165207239,0.203152364,0.217746643,0.244016346,Luxembourg,0
Macedonia,35.38,35.99,35.76,35.68,37.04,39.2,41.2,41.88,0.017241379,0.010740531,0.008479367,0.046919163,0.107970605,0.164499717,0.183719616,Macedonia (FYROM),0
Madagascar,13.83,12.97,11.84,10.44,10.34,10.63,10.87,11.28,-0.062183659,-0.143890094,-0.245119306,-0.252349964,-0.231381056,-0.214027477,-0.184381779,Madagascar,0
Malawi,19.14,16.79,14.02,13.39,17.2,19.9,20.24,21.99,-0.122779519,-0.267502612,-0.300417973,-0.101358412,0.039707419,0.057471264,0.148902821,Malawi,0
Malaysia,26.19,27.54,27.68,29.95,33.4,35.91,37.35,38.87,0.051546392,0.056891943,0.143566247,0.275295914,0.371134021,0.426116838,0.484154257,Malaysia,0
Maldives,14.89,16.03,17.34,19.25,23.52,29.79,35.2,38.11,0.076561451,0.16453996,0.292813969,0.579583613,1.000671592,1.364002686,1.559435863,Maldives,0
Mali,5.22,6.19,9.01,12.96,18.26,22.43,26.86,29.63,0.185823755,0.72605364,1.482758621,2.498084291,3.296934866,4.14559387,4.676245211,Mali,0
Malta,50.38,49.58,48.87,50.54,53.31,54.76,55.27,55.16,-0.015879317,-0.029972211,0.003175863,0.058157999,0.086939262,0.097062326,0.09487892,Malta,0
Marshall Islands,47.94,49.27,51.48,54.4,57.19,57.48,57.11,57.11,0.027743012,0.073842303,0.134751773,0.19294952,0.198998748,0.191280768,0.191280768,Marshall Islands,0
Mauritania,14.46,17.78,22.14,27.02,31.17,33.14,34.69,35.64,0.229598893,0.531120332,0.868603043,1.15560166,1.291839557,1.399031812,1.46473029,Mauritania,0
Mauritius,21.76,23.8,26.17,28.99,32.08,37.63,43.09,41.57,0.09375,0.202665441,0.332261029,0.474264706,0.729319853,0.980238971,0.910386029,Mauritius,0
Mexico,43.36,47.46,49.88,51.86,53.36,55.2,55.76,55.57,0.094557196,0.150369004,0.19603321,0.230627306,0.273062731,0.28597786,0.281595941,Mexico,0
Moldova,37.34,37.89,37.96,37.25,37.01,38.52,42.03,44.37,0.014729513,0.016604178,-0.002410284,-0.008837708,0.0316015,0.125602571,0.188269952,Moldova,0
Mongolia,34.93,36.82,35.73,32.46,31.72,34.44,40.54,43.84,0.054108216,0.022902949,-0.070712854,-0.091898082,-0.014028056,0.160606928,0.255081592,Mongolia,0
Montenegro,39.77,40.68,40.75,39.92,40.24,41.42,43.14,44.66,0.022881569,0.02464169,0.003771687,0.011817953,0.041488559,0.084737239,0.122957003,Montenegro,0
Morocco,26.03,29.19,32.43,34.58,36.13,38.18,39.95,40.48,0.121398386,0.24587015,0.328467153,0.38801383,0.466769113,0.534767576,0.555128698,Morocco,0
Mozambique,12.52,11.97,11.83,12.77,15.72,18.88,20.26,22.34,-0.043929712,-0.055111821,0.019968051,0.255591054,0.50798722,0.618210863,0.784345048,Mozambique,0
Myanmar,7.84,8.93,9.37,9.89,12.03,15.42,18.61,22.29,0.139030612,0.195153061,0.261479592,0.534438776,0.966836735,1.37372449,1.843112245,Myanmar (Burma),0
Namibia,18.8,18,16.49,16.36,19.06,22.26,23.34,23.24,-0.042553191,-0.12287234,-0.129787234,0.013829787,0.184042553,0.241489362,0.236170213,Namibia,0
Nepal,2.93,3.5,4.6,5.99,8.21,10.39,14.88,21.01,0.194539249,0.56996587,1.044368601,1.802047782,2.546075085,4.078498294,6.170648464,Nepal,0
Netherlands,30.02,30.89,32.22,34.31,35.06,36.73,39.84,43.1,0.02898068,0.073284477,0.14290473,0.167888075,0.223517655,0.327115256,0.435709527,Netherlands,0
New Zealand,43.69,42.59,42.74,45.97,48.62,51.12,53,52.5,-0.025177386,-0.021744106,0.052185855,0.112840467,0.170061799,0.213092241,0.201647974,New Zealand,0
Nicaragua,27.32,29.4,31.53,31.87,34.99,39.5,43.13,45.04,0.0761347,0.154099561,0.166544656,0.280746706,0.445827233,0.578696925,0.648609078,Nicaragua,0
Niger,9.9,10.7,10.84,11.3,13.71,17.52,19.99,21.22,0.080808081,0.094949495,0.141414141,0.384848485,0.76969697,1.019191919,1.143434343,Niger,0
Nigeria,8,8.75,11.84,19.04,25.04,26.67,27.86,28.67,0.09375,0.48,1.38,2.13,2.33375,2.4825,2.58375,Nigeria,0
North Korea,6.63,6.39,6.64,7.31,7.34,7.02,6.81,6.82,-0.036199095,0.001508296,0.102564103,0.107088989,0.058823529,0.027149321,0.028657617,North Korea,0
Northern Mariana Islands,41.26,42.61,46.36,50.65,53.95,53.22,51.93,50.56,0.032719341,0.123606398,0.227581192,0.307561803,0.289869123,0.258603975,0.225399903,Northern Mariana Islands,0
Norway,33.49,35.06,34.98,36.19,39.24,42.19,44.52,45.96,0.046879666,0.044490893,0.080621081,0.171693043,0.259779039,0.329352045,0.372349955,Norway,0
Oman,32.31,36.88,40.76,44.68,50.46,52.69,52.68,53.59,0.141442278,0.261528938,0.382853606,0.56174559,0.630764469,0.630454968,0.658619622,Oman,0
Pakistan,18.93,18.42,18.33,18.33,18.27,20.54,24.05,26.45,-0.026941363,-0.031695721,-0.031695721,-0.034865293,0.085050185,0.270470153,0.397253038,Pakistan,0
Palestine,33.72,36.93,40.09,43.18,47.17,52.23,53.33,51.64,0.09519573,0.18890866,0.28054567,0.398873072,0.548932384,0.581553974,0.53143535,Palestine,0
Panama,9.5,10.21,11.89,17.09,19.6,20.89,23.85,27.32,0.074736842,0.251578947,0.798947368,1.063157895,1.198947368,1.510526316,1.875789474,Panama,0
Papua New Guinea,25.8,27.71,30.75,32.77,32.77,30.61,29.3,29.1,0.074031008,0.191860465,0.270155039,0.270155039,0.186434109,0.135658915,0.127906977,Papua New Guinea,0
Paraguay,30.52,32.13,32.85,33.8,36.78,41.06,44.34,45.3,0.052752294,0.076343381,0.107470511,0.205111402,0.345347313,0.452817824,0.484272608,Paraguay,0
Peru,33.31,32.63,33.05,34.71,37.82,40.3,44.71,48.49,-0.02041429,-0.007805464,0.042029421,0.135394776,0.209846893,0.342239568,0.455719003,Peru,0
Philippines,11.1,12.8,13.48,14.38,17.31,18.75,18.65,20.36,0.153153153,0.214414414,0.295495495,0.559459459,0.689189189,0.68018018,0.834234234,Philippines,0
Poland,42.71,42.45,42.07,41.03,40.64,40.95,41.98,43.42,-0.006087567,-0.014984781,-0.03933505,-0.048466401,-0.041208148,-0.017092016,0.016623742,Poland,0
Portugal,33.83,34.65,38.69,43.64,46.3,46.85,47.27,48.02,0.024238841,0.143659474,0.289979308,0.368607745,0.384865504,0.39728052,0.419450192,Portugal,0
Puerto Rico,40.96,43.88,46.91,51.93,56.69,60.28,61.64,61.82,0.071289063,0.145263672,0.267822266,0.384033203,0.471679688,0.504882813,0.509277344,Puerto Rico,0
Qatar,62.31,63.39,63.63,63.08,62.59,63.18,63.1,63.12,0.017332691,0.021184401,0.012357567,0.004493661,0.013962446,0.012678543,0.012999519,Qatar,0
Romania,35.82,35.66,34.99,34.87,36.44,38.86,40.91,40.64,-0.004466778,-0.023171413,-0.026521496,0.017308766,0.084868788,0.142099386,0.134561697,Romania,0
Russia,39.58,39.59,38.82,39.2,40.89,41.63,43.89,45.95,0.000252653,-0.019201617,-0.009600808,0.033097524,0.051793835,0.10889338,0.160939869,Russia,0
Rwanda,13.22,12.85,10.98,9.55,10.12,11.65,15.11,19.48,-0.027987897,-0.169440242,-0.277609682,-0.234493192,-0.118759455,0.142965204,0.473524962,Rwanda,0
Saint Lucia,33.05,34.62,36.01,37.51,39.22,41.01,42.67,41.83,0.047503782,0.089561271,0.13494705,0.186686838,0.240847201,0.29107413,0.265658094,St Lucia,0
Saint Vincent and the Grenadines,32.87,35.85,40.58,43.78,47.36,50.75,53.12,54.66,0.090660176,0.234560389,0.331913599,0.440827502,0.543961059,0.61606328,0.662914512,St Vincent and the Grenadines,0
Samoa,60.48,60.88,61.82,63.33,65.15,65.38,65.12,64.78,0.006613757,0.022156085,0.047123016,0.077215608,0.081018519,0.076719577,0.071097884,Samoa,0
Sao Tome and Principe,19.48,20.59,21.84,23.88,25.8,27.1,28.53,29.59,0.05698152,0.121149897,0.22587269,0.324435318,0.391170431,0.464579055,0.51899384,São Tomé and Príncipe,0
Saudi Arabia,37.65,44.77,47.25,48.49,52.32,54.89,55.59,57.01,0.189110226,0.25498008,0.287915007,0.389641434,0.457901726,0.476494024,0.514209827,Saudi Arabia,0
Senegal,14.63,15.36,15.57,16.72,18.78,19.87,21.37,21.95,0.049897471,0.064251538,0.142857143,0.283663705,0.358168148,0.460697198,0.500341763,Senegal,0
Serbia,39.63,40.11,40.13,39.45,38.81,39.42,41.52,43.66,0.012112036,0.012616705,-0.004542014,-0.020691395,-0.005299016,0.047691143,0.101690638,Serbia,0
Seychelles,25.78,26.69,29.39,34.05,38.42,41.25,42.6,43.64,0.035298681,0.140031032,0.320791311,0.49030256,0.60007758,0.652443755,0.692785105,Seychelles,0
Sierra Leone,14.62,13.84,13.8,15.76,17.26,17.54,18.93,21.52,-0.053351573,-0.056087551,0.077975376,0.180574555,0.199726402,0.294801642,0.471956224,Sierra Leone,0
